Name of Property,Property Type,Bedrooms,Bathrooms,Amenities,Price,Possession Date,Appreciation per year,Parking,Nearby,City,Location,Landmark,Launch Date,Builder Name,Furnishing status,Total Area,Total Towers,Total Floors,Sizes (sq.ft),Price per sq.ft,Balcony,Extra rooms,Super Area (sq.ft),Carpet Area (sq.ft),Age of Property,Facing,Loan Availability,Total Lifts,Pantry,View,Fitting type,Air conditioning,Clubhouse Amenities,Project Description
Skyline Plaza,Apartment,3BHK,3,Kids play area cycling path clubhouse,90L-1.2Cr,15th Mar 2025,10%,Indoor 1,Max Hospital IT Park HP Petrol Pump,Chandigarh,Sector 79 Chandigarh,Near Chandigarh IT Park,22nd Nov 2022,Shobha Realty,Semi furnished,6 acres,8,12,1800,5000,3.0,Store room,2000.0,1800,Under construction,North West,Yes,2,No,Park view,Jaquar fittings LG AC,Split AC,Rooftop cafe billiards table indoor games,"Modern apartments in Sector 79 Chandigarh with excellent transport connectivity This Apartment is designed to offer a luxurious and comfortable lifestyle with 3BHK and 3 bathrooms, ensuring ample space for residents. Located in a prime area, it provides modern amenities such as Kids play area cycling path clubhouse, making it an excellent choice for families and investors alike. The property boasts a stunning Park view and features high-quality Jaquar fittings LG AC for added elegance. With an expected appreciation of 10% per year, it is a great investment opportunity. The project is available for possession by 15th Mar 2025 and includes Indoor 1 parking spaces. Residents will also enjoy access to clubhouse facilities like Rooftop cafe billiards table indoor games. With a carpet area of 1800 sq. ft., this property is perfect for those seeking a premium lifestyle in North West facing direction. Additionally, it offers Yes loan availability, making it easier to own your dream home."
Eden Greens,Farmhouse,,3,Private garden kids play area swimming pool,2Cr-3Cr,30th Sep 2025,16%,Open 2,Fortis Hospital Golf Club Local Market,Panchkula,Sector 20 Panchkula,Near Golf Club,1st May 2023,DLF,Raw,18 acres,15,1,5500,7000,,Servant room,5800.0,5500,Under construction,South East,Yes,,No,Lake view,,,Guest house rooftop cafe billiards table ballroom,"Premium farmhouses with lush green surroundings on the outskirts of Chandigarh This Farmhouse is designed to offer a luxurious and comfortable lifestyle with nan and 3 bathrooms, ensuring ample space for residents. Located in a prime area, it provides modern amenities such as Private garden kids play area swimming pool, making it an excellent choice for families and investors alike. The property boasts a stunning Lake view and features high-quality nan for added elegance. With an expected appreciation of 16% per year, it is a great investment opportunity. The project is available for possession by 30th Sep 2025 and includes Open 2 parking spaces. Residents will also enjoy access to clubhouse facilities like Guest house rooftop cafe billiards table ballroom. With a carpet area of 5500 sq. ft., this property is perfect for those seeking a premium lifestyle in South East facing direction. Additionally, it offers Yes loan availability, making it easier to own your dream home."
Central Heights,Penthouse,5BHK,6,Swimming pool clubhouse gym,4.5Cr-5.5Cr,15th Jun 2024,18%,Indoor 3,Fortis Hospital Jubilee Junction Local Market,Mohali,Sector 85 Mohali,Near TDI Mall,10th Feb 2022,Emaar,Fully furnished,20 acres,5,25,5000,9000,4.0,Servant room pooja room,5500.0,5200,2 years,North East,Yes,3,No,City view,LG AC Jaguar fittings,Centralised AC,Mini theatre family restaurant rooftop cafe,"Premium penthouses in Sector 85 Mohali with panoramic views and luxurious interiors This Penthouse is designed to offer a luxurious and comfortable lifestyle with 5BHK and 6 bathrooms, ensuring ample space for residents. Located in a prime area, it provides modern amenities such as Swimming pool clubhouse gym, making it an excellent choice for families and investors alike. The property boasts a stunning City view and features high-quality LG AC Jaguar fittings for added elegance. With an expected appreciation of 18% per year, it is a great investment opportunity. The project is available for possession by 15th Jun 2024 and includes Indoor 3 parking spaces. Residents will also enjoy access to clubhouse facilities like Mini theatre family restaurant rooftop cafe. With a carpet area of 5200 sq. ft., this property is perfect for those seeking a premium lifestyle in North East facing direction. Additionally, it offers Yes loan availability, making it easier to own your dream home."
Urban Nest,Apartment,2BHK,2,Jogging track basketball court kids play area,55L-75L,Ready to move,9%,Open 1,Max Hospital Local Market Jubilee Junction,Mohali,Sector 68 Mohali,Near TDI City,1st Dec 2021,Sobha Realty,Raw,4 acres,6,10,1200,4600,2.0,Store room,1300.0,1200,1 year,South West,Yes,2,No,Road view,,,Indoor games sports bar billiards table,"Affordable luxury apartments in Sector 68 Mohali with modern amenities and green spaces This Apartment is designed to offer a luxurious and comfortable lifestyle with 2BHK and 2 bathrooms, ensuring ample space for residents. Located in a prime area, it provides modern amenities such as Jogging track basketball court kids play area, making it an excellent choice for families and investors alike. The property boasts a stunning Road view and features high-quality nan for added elegance. With an expected appreciation of 9% per year, it is a great investment opportunity. The project is available for possession by Ready to move and includes Open 1 parking spaces. Residents will also enjoy access to clubhouse facilities like Indoor games sports bar billiards table. With a carpet area of 1200 sq. ft., this property is perfect for those seeking a premium lifestyle in South West facing direction. Additionally, it offers Yes loan availability, making it easier to own your dream home."
Pearl View Villas,Villa,3BHK,4,Swimming pool gym cycling path,1.8Cr-2.5Cr,30th Nov 2024,14%,Indoor 2,Fortis Hospital IT Park Jubilee Junction,Mohali,Sector 80 Mohali,Opposite IT Park,5th Oct 2022,DLF,Fully furnished,15 acres,40,2,4000,7500,3.0,Servant room store room,4300.0,4000,Under construction,East,Yes,1,No,Park view,Jaquar washroom fittings LG AC,Split AC,Mini theatre family restaurant indoor games,"Spacious villas in Sector 80 Mohali with lush gardens and a peaceful environment This Villa is designed to offer a luxurious and comfortable lifestyle with 3BHK and 4 bathrooms, ensuring ample space for residents. Located in a prime area, it provides modern amenities such as Swimming pool gym cycling path, making it an excellent choice for families and investors alike. The property boasts a stunning Park view and features high-quality Jaquar washroom fittings LG AC for added elegance. With an expected appreciation of 14% per year, it is a great investment opportunity. The project is available for possession by 30th Nov 2024 and includes Indoor 2 parking spaces. Residents will also enjoy access to clubhouse facilities like Mini theatre family restaurant indoor games. With a carpet area of 4000 sq. ft., this property is perfect for those seeking a premium lifestyle in East facing direction. Additionally, it offers Yes loan availability, making it easier to own your dream home."
Infinity Towers,SOHO,,1,Power backup high-speed elevators CCTV,1Cr-1.5Cr,31st Dec 2025,12%,Indoor 2,Max Hospital CP67 Mall Chandigarh IT Park,Mohali,Sector 90 Mohali,Near TDI Mall,15th Mar 2023,Dmaac,Semi furnished,5 acres,4,10,1500,6500,,,1700.0,1500,Under construction,West,Yes,3,Yes,Road view,Jaguar fittings LG AC,Split AC,Rooftop cafe meeting rooms mini theatre,"Modern SOHO units in Sector 90 Mohali ideal for startups and freelancers This SOHO is designed to offer a luxurious and comfortable lifestyle with nan and 1 bathrooms, ensuring ample space for residents. Located in a prime area, it provides modern amenities such as Power backup high-speed elevators CCTV, making it an excellent choice for families and investors alike. The property boasts a stunning Road view and features high-quality Jaguar fittings LG AC for added elegance. With an expected appreciation of 12% per year, it is a great investment opportunity. The project is available for possession by 31st Dec 2025 and includes Indoor 2 parking spaces. Residents will also enjoy access to clubhouse facilities like Rooftop cafe meeting rooms mini theatre. With a carpet area of 1500 sq. ft., this property is perfect for those seeking a premium lifestyle in West facing direction. Additionally, it offers Yes loan availability, making it easier to own your dream home."
Pinnacle Residences,Apartment,3BHK,3,Swimming pool kids play area jogging track,70L-1Cr,15th Apr 2024,10%,Indoor 1,Max Hospital IT Park HP Petrol Pump,Chandigarh,Sector 78 Chandigarh,Near Chandigarh IT Park,5th Dec 2021,Shobha Realty,Semi furnished,6 acres,10,15,2000,4800,3.0,Store room,2200.0,2000,2 years,North East,Yes,2,No,Park view,Jaquar washroom fittings LG AC,Split AC,Family restaurant billiards table mini theatre,"Luxurious apartments in Sector 78 Chandigarh with state-of-the-art facilities This Apartment is designed to offer a luxurious and comfortable lifestyle with 3BHK and 3 bathrooms, ensuring ample space for residents. Located in a prime area, it provides modern amenities such as Swimming pool kids play area jogging track, making it an excellent choice for families and investors alike. The property boasts a stunning Park view and features high-quality Jaquar washroom fittings LG AC for added elegance. With an expected appreciation of 10% per year, it is a great investment opportunity. The project is available for possession by 15th Apr 2024 and includes Indoor 1 parking spaces. Residents will also enjoy access to clubhouse facilities like Family restaurant billiards table mini theatre. With a carpet area of 2000 sq. ft., this property is perfect for those seeking a premium lifestyle in North East facing direction. Additionally, it offers Yes loan availability, making it easier to own your dream home."
Haven Villas,Villa,5BHK,6,Private garden swimming pool gym,3.5Cr-4.5Cr,30th Jun 2025,16%,Indoor 3,Delhi Public School Jubilee Mall Chandigarh Airport,Mohali,Sector 83 Mohali,Near TDI Mall,20th Jan 2023,Emaar,Fully furnished,18 acres,60,2,4500,8000,3.0,Servant room pooja room,5000.0,4700,Under construction,South,Yes,1,No,Lake view,Jaquar washroom fittings LG AC,Split AC,Indoor games rooftop cafe sports bar,"Luxury villas in Sector 83 Mohali with excellent connectivity and premium amenities This Villa is designed to offer a luxurious and comfortable lifestyle with 5BHK and 6 bathrooms, ensuring ample space for residents. Located in a prime area, it provides modern amenities such as Private garden swimming pool gym, making it an excellent choice for families and investors alike. The property boasts a stunning Lake view and features high-quality Jaquar washroom fittings LG AC for added elegance. With an expected appreciation of 16% per year, it is a great investment opportunity. The project is available for possession by 30th Jun 2025 and includes Indoor 3 parking spaces. Residents will also enjoy access to clubhouse facilities like Indoor games rooftop cafe sports bar. With a carpet area of 4700 sq. ft., this property is perfect for those seeking a premium lifestyle in South facing direction. Additionally, it offers Yes loan availability, making it easier to own your dream home."
Tranquil Meadows,Farmhouse,,3,Private garden kids play area cycling path,2.5Cr-3Cr,15th Sep 2025,12%,Open 3,Max Hospital Panchkula Golf Club Local Market,Panchkula,Sector 25 Panchkula,Near Golf Club,5th Nov 2022,DLF,Raw,20 acres,10,1,6000,7000,,Servant room,6200.0,5800,Under construction,East,Yes,,No,Mountain view,,,Guest house rooftop cafe billiards table,"Premium farmhouses in Panchkula with lush green landscapes This Farmhouse is designed to offer a luxurious and comfortable lifestyle with nan and 3 bathrooms, ensuring ample space for residents. Located in a prime area, it provides modern amenities such as Private garden kids play area cycling path, making it an excellent choice for families and investors alike. The property boasts a stunning Mountain view and features high-quality nan for added elegance. With an expected appreciation of 12% per year, it is a great investment opportunity. The project is available for possession by 15th Sep 2025 and includes Open 3 parking spaces. Residents will also enjoy access to clubhouse facilities like Guest house rooftop cafe billiards table. With a carpet area of 5800 sq. ft., this property is perfect for those seeking a premium lifestyle in East facing direction. Additionally, it offers Yes loan availability, making it easier to own your dream home."
Platinum Heights,Apartment,2BHK,2,Kids play area jogging track power backup,40L-60L,15th Dec 2024,8%,Open 1,Max Hospital Jubilee Mall IT Park,Mohali,Sector 82 Mohali,Near Airport Road,22nd Oct 2021,DLF,Raw,5 acres,8,10,1100,5000,2.0,Store room,1200.0,1100,1 year,South West,Yes,2,No,Road view,,,Rooftop cafe family restaurant indoor games,"Affordable apartments in Sector 82 Mohali with easy access to major landmarks This Apartment is designed to offer a luxurious and comfortable lifestyle with 2BHK and 2 bathrooms, ensuring ample space for residents. Located in a prime area, it provides modern amenities such as Kids play area jogging track power backup, making it an excellent choice for families and investors alike. The property boasts a stunning Road view and features high-quality nan for added elegance. With an expected appreciation of 8% per year, it is a great investment opportunity. The project is available for possession by 15th Dec 2024 and includes Open 1 parking spaces. Residents will also enjoy access to clubhouse facilities like Rooftop cafe family restaurant indoor games. With a carpet area of 1100 sq. ft., this property is perfect for those seeking a premium lifestyle in South West facing direction. Additionally, it offers Yes loan availability, making it easier to own your dream home."
Summit Residences,Penthouse,4BHK,5,Swimming pool gym jogging track,4Cr-5Cr,15th Jan 2026,20%,Indoor 3,Fortis Hospital Jubilee Junction IT Park,Mohali,Sector 85 Mohali,Opposite IT Park,5th Aug 2023,Emaar,Fully furnished,25 acres,6,20,4800,8500,4.0,Servant room store room,5200.0,4800,Under construction,North,Yes,3,No,City view,LG AC Jaguar fittings,Centralised AC,Mini theatre rooftop cafe billiards table,"Luxurious penthouses in Sector 85 Mohali offering premium amenities and breathtaking views This Penthouse is designed to offer a luxurious and comfortable lifestyle with 4BHK and 5 bathrooms, ensuring ample space for residents. Located in a prime area, it provides modern amenities such as Swimming pool gym jogging track, making it an excellent choice for families and investors alike. The property boasts a stunning City view and features high-quality LG AC Jaguar fittings for added elegance. With an expected appreciation of 20% per year, it is a great investment opportunity. The project is available for possession by 15th Jan 2026 and includes Indoor 3 parking spaces. Residents will also enjoy access to clubhouse facilities like Mini theatre rooftop cafe billiards table. With a carpet area of 4800 sq. ft., this property is perfect for those seeking a premium lifestyle in North facing direction. Additionally, it offers Yes loan availability, making it easier to own your dream home."
Regal Workspaces,SOHO,,1,High-speed elevators power backup parking,1Cr-1.3Cr,30th Sep 2025,14%,Indoor 2,Max Hospital IT Park CP67 Mall,Chandigarh,Sector 88 Chandigarh,Near Chandigarh IT Park,20th Mar 2023,Dmaac,Semi furnished,8 acres,5,10,1400,6700,,,1600.0,1400,Under construction,West,Yes,3,Yes,Lake view,LG Airconditioner Jaguar fittings,Split AC,Rooftop cafe meeting rooms family restaurant,"Premium SOHO spaces in Sector 88 Chandigarh ideal for modern offices This SOHO is designed to offer a luxurious and comfortable lifestyle with nan and 1 bathrooms, ensuring ample space for residents. Located in a prime area, it provides modern amenities such as High-speed elevators power backup parking, making it an excellent choice for families and investors alike. The property boasts a stunning Lake view and features high-quality LG Airconditioner Jaguar fittings for added elegance. With an expected appreciation of 14% per year, it is a great investment opportunity. The project is available for possession by 30th Sep 2025 and includes Indoor 2 parking spaces. Residents will also enjoy access to clubhouse facilities like Rooftop cafe meeting rooms family restaurant. With a carpet area of 1400 sq. ft., this property is perfect for those seeking a premium lifestyle in West facing direction. Additionally, it offers Yes loan availability, making it easier to own your dream home."
Emerald Residences,Apartment,3BHK,3,Swimming pool kids play area jogging track,75L-1.1Cr,Ready to move,12%,Indoor 2,Max Hospital CP67 Mall Jubilee Junction,Mohali,Sector 82 Mohali,Near Airport Road,15th Jan 2020,SBP Builders,Semi furnished,7 acres,8,12,1800,5200,3.0,Store room,2100.0,1900,3 years,North East,Yes,2,No,Park view,Jaquar washroom fittings LG AC,Split AC,Billiards table rooftop cafe family restaurant,"Well-planned apartments in Sector 82 Mohali with top-notch amenities and connectivity This Apartment is designed to offer a luxurious and comfortable lifestyle with 3BHK and 3 bathrooms, ensuring ample space for residents. Located in a prime area, it provides modern amenities such as Swimming pool kids play area jogging track, making it an excellent choice for families and investors alike. The property boasts a stunning Park view and features high-quality Jaquar washroom fittings LG AC for added elegance. With an expected appreciation of 12% per year, it is a great investment opportunity. The project is available for possession by Ready to move and includes Indoor 2 parking spaces. Residents will also enjoy access to clubhouse facilities like Billiards table rooftop cafe family restaurant. With a carpet area of 1900 sq. ft., this property is perfect for those seeking a premium lifestyle in North East facing direction. Additionally, it offers Yes loan availability, making it easier to own your dream home."
Willow Villas,Villa,4BHK,5,Private garden gym swimming pool,2.5Cr-3.5Cr,30th Dec 2025,14%,Indoor 2,Fortis Hospital Jubilee Junction IT Park,Mohali,Sector 84 Mohali,Near Jubilee Junction,5th Apr 2023,Emaar,Fully furnished,15 acres,50,3,4500,7800,3.0,Servant room pooja room,4800.0,4500,Under construction,South East,Yes,1,No,Lake view,Jaguar washroom fittings Bajaj geysers,Split AC,Mini theatre sports bar rooftop cafe,"Exclusive villas in Sector 84 Mohali with luxurious designs and green surroundings This Villa is designed to offer a luxurious and comfortable lifestyle with 4BHK and 5 bathrooms, ensuring ample space for residents. Located in a prime area, it provides modern amenities such as Private garden gym swimming pool, making it an excellent choice for families and investors alike. The property boasts a stunning Lake view and features high-quality Jaguar washroom fittings Bajaj geysers for added elegance. With an expected appreciation of 14% per year, it is a great investment opportunity. The project is available for possession by 30th Dec 2025 and includes Indoor 2 parking spaces. Residents will also enjoy access to clubhouse facilities like Mini theatre sports bar rooftop cafe. With a carpet area of 4500 sq. ft., this property is perfect for those seeking a premium lifestyle in South East facing direction. Additionally, it offers Yes loan availability, making it easier to own your dream home."
Aurora Towers,Apartment,2BHK,2,Kids play area jogging track cycling path,55L-75L,15th Sep 2024,10%,Open 1,Max Hospital IT Park Jubilee Junction,Chandigarh,Sector 79 Chandigarh,Opposite Chandigarh IT Park,12th Aug 2021,Dmaac,Raw,5 acres,10,15,1250,4500,2.0,Store room,1400.0,1250,2 years,North West,Yes,2,No,City view,,,Indoor games billiards table rooftop cafe,"Affordable apartments in Sector 79 Chandigarh with vibrant amenities and scenic views This Apartment is designed to offer a luxurious and comfortable lifestyle with 2BHK and 2 bathrooms, ensuring ample space for residents. Located in a prime area, it provides modern amenities such as Kids play area jogging track cycling path, making it an excellent choice for families and investors alike. The property boasts a stunning City view and features high-quality nan for added elegance. With an expected appreciation of 10% per year, it is a great investment opportunity. The project is available for possession by 15th Sep 2024 and includes Open 1 parking spaces. Residents will also enjoy access to clubhouse facilities like Indoor games billiards table rooftop cafe. With a carpet area of 1250 sq. ft., this property is perfect for those seeking a premium lifestyle in North West facing direction. Additionally, it offers Yes loan availability, making it easier to own your dream home."
The Summit,Penthouse,5BHK,6,Swimming pool gym clubhouse,4Cr-5.5Cr,31st Dec 2024,18%,Indoor 3,Fortis Hospital Jubilee Mall Local Market,Mohali,Sector 85 Mohali,Near TDI Mall,20th Feb 2022,Emaar,Fully furnished,20 acres,5,25,5000,8500,4.0,Servant room store room,5300.0,5000,2 years,East,Yes,3,No,Park view,LG AC Jaguar fittings,Centralised AC,Rooftop cafe family restaurant mini theatre,"Luxury penthouses in Sector 85 Mohali offering breathtaking views and modern amenities This Penthouse is designed to offer a luxurious and comfortable lifestyle with 5BHK and 6 bathrooms, ensuring ample space for residents. Located in a prime area, it provides modern amenities such as Swimming pool gym clubhouse, making it an excellent choice for families and investors alike. The property boasts a stunning Park view and features high-quality LG AC Jaguar fittings for added elegance. With an expected appreciation of 18% per year, it is a great investment opportunity. The project is available for possession by 31st Dec 2024 and includes Indoor 3 parking spaces. Residents will also enjoy access to clubhouse facilities like Rooftop cafe family restaurant mini theatre. With a carpet area of 5000 sq. ft., this property is perfect for those seeking a premium lifestyle in East facing direction. Additionally, it offers Yes loan availability, making it easier to own your dream home."
Elite Workspaces,SOHO,,1,High-speed elevators power backup parking,1.2Cr-1.5Cr,15th Aug 2025,14%,Indoor 2,Max Hospital CP67 Mall IT Park,Chandigarh,Sector 88 Chandigarh,Near Chandigarh IT Park,25th May 2023,DLF,Semi furnished,6 acres,4,10,1500,6800,,,1600.0,1500,Under construction,West,Yes,3,Yes,Road view,Jaguar washroom fittings LG AC,Split AC,Billiards table rooftop cafe meeting rooms,"Modern SOHO units in Sector 88 Chandigarh designed for small businesses This SOHO is designed to offer a luxurious and comfortable lifestyle with nan and 1 bathrooms, ensuring ample space for residents. Located in a prime area, it provides modern amenities such as High-speed elevators power backup parking, making it an excellent choice for families and investors alike. The property boasts a stunning Road view and features high-quality Jaguar washroom fittings LG AC for added elegance. With an expected appreciation of 14% per year, it is a great investment opportunity. The project is available for possession by 15th Aug 2025 and includes Indoor 2 parking spaces. Residents will also enjoy access to clubhouse facilities like Billiards table rooftop cafe meeting rooms. With a carpet area of 1500 sq. ft., this property is perfect for those seeking a premium lifestyle in West facing direction. Additionally, it offers Yes loan availability, making it easier to own your dream home."
Green Acres,Farmhouse,,4,Private garden kids play area cycling path,2.2Cr-3Cr,30th Oct 2025,12%,Open 3,Fortis Hospital Panchkula Golf Club Local Market,Panchkula,Sector 20 Panchkula,Near Golf Club,10th Jul 2022,DLF,Raw,18 acres,12,1,6000,7200,,Servant room store room,6200.0,5800,Under construction,East,Yes,,No,Mountain view,,,Guest house rooftop cafe billiards table,"Spacious farmhouses in Panchkula surrounded by lush green landscapes This Farmhouse is designed to offer a luxurious and comfortable lifestyle with nan and 4 bathrooms, ensuring ample space for residents. Located in a prime area, it provides modern amenities such as Private garden kids play area cycling path, making it an excellent choice for families and investors alike. The property boasts a stunning Mountain view and features high-quality nan for added elegance. With an expected appreciation of 12% per year, it is a great investment opportunity. The project is available for possession by 30th Oct 2025 and includes Open 3 parking spaces. Residents will also enjoy access to clubhouse facilities like Guest house rooftop cafe billiards table. With a carpet area of 5800 sq. ft., this property is perfect for those seeking a premium lifestyle in East facing direction. Additionally, it offers Yes loan availability, making it easier to own your dream home."
Skyline Heights,Apartment,3BHK,3,Swimming pool kids play area jogging track,85L-1.1Cr,Ready to move,10%,Indoor 1,Delhi Public School Fortis Hospital Jubilee Junction,Mohali,Sector 80 Mohali,Opposite Jubilee Junction,18th Dec 2020,Sobha Realty,Semi furnished,10 acres,12,15,1800,5200,3.0,Store room,2100.0,1900,3 years,North East,Yes,2,No,Park view,Jaquar washroom fittings LG AC,Split AC,Family restaurant billiards table rooftop cafe,"Premium apartments in Sector 80 Mohali with excellent transport connectivity This Apartment is designed to offer a luxurious and comfortable lifestyle with 3BHK and 3 bathrooms, ensuring ample space for residents. Located in a prime area, it provides modern amenities such as Swimming pool kids play area jogging track, making it an excellent choice for families and investors alike. The property boasts a stunning Park view and features high-quality Jaquar washroom fittings LG AC for added elegance. With an expected appreciation of 10% per year, it is a great investment opportunity. The project is available for possession by Ready to move and includes Indoor 1 parking spaces. Residents will also enjoy access to clubhouse facilities like Family restaurant billiards table rooftop cafe. With a carpet area of 1900 sq. ft., this property is perfect for those seeking a premium lifestyle in North East facing direction. Additionally, it offers Yes loan availability, making it easier to own your dream home."
Cedar Villas,Villa,5BHK,5,Private garden gym clubhouse,3Cr-4Cr,15th Apr 2025,15%,Indoor 2,Max Hospital IT Park Jubilee Junction,Mohali,Sector 83 Mohali,Near Jubilee Junction,1st Feb 2023,Emaar,Fully furnished,12 acres,40,2,4200,7800,3.0,Servant room store room,4500.0,4200,Under construction,South East,Yes,1,No,Lake view,LG AC Jaguar fittings,Split AC,Rooftop cafe family restaurant billiards table,"Exclusive villas in Sector 83 Mohali offering luxurious living spaces This Villa is designed to offer a luxurious and comfortable lifestyle with 5BHK and 5 bathrooms, ensuring ample space for residents. Located in a prime area, it provides modern amenities such as Private garden gym clubhouse, making it an excellent choice for families and investors alike. The property boasts a stunning Lake view and features high-quality LG AC Jaguar fittings for added elegance. With an expected appreciation of 15% per year, it is a great investment opportunity. The project is available for possession by 15th Apr 2025 and includes Indoor 2 parking spaces. Residents will also enjoy access to clubhouse facilities like Rooftop cafe family restaurant billiards table. With a carpet area of 4200 sq. ft., this property is perfect for those seeking a premium lifestyle in South East facing direction. Additionally, it offers Yes loan availability, making it easier to own your dream home."
The Crest,Penthouse,4BHK,5,Swimming pool gym jogging track,3.8Cr-5Cr,15th Jan 2026,18%,Indoor 3,Max Hospital Jubilee Junction Local Market,Mohali,Sector 84 Mohali,Near IT Park,22nd Nov 2022,DLF,Fully furnished,18 acres,6,20,4800,8400,4.0,Servant room pooja room,5200.0,4800,Under construction,North,Yes,3,No,City view,LG AC Jaguar fittings,Centralised AC,Billiards table rooftop cafe family restaurant,"Luxury penthouses in Sector 84 Mohali with stunning views and premium amenities This Penthouse is designed to offer a luxurious and comfortable lifestyle with 4BHK and 5 bathrooms, ensuring ample space for residents. Located in a prime area, it provides modern amenities such as Swimming pool gym jogging track, making it an excellent choice for families and investors alike. The property boasts a stunning City view and features high-quality LG AC Jaguar fittings for added elegance. With an expected appreciation of 18% per year, it is a great investment opportunity. The project is available for possession by 15th Jan 2026 and includes Indoor 3 parking spaces. Residents will also enjoy access to clubhouse facilities like Billiards table rooftop cafe family restaurant. With a carpet area of 4800 sq. ft., this property is perfect for those seeking a premium lifestyle in North facing direction. Additionally, it offers Yes loan availability, making it easier to own your dream home."
Business Hub,SOHO,,1,Power backup high-speed elevators parking,1.1Cr-1.4Cr,31st Jul 2025,12%,Indoor 2,Max Hospital CP67 Mall IT Park,Chandigarh,Sector 89 Chandigarh,Near Jubilee Junction,15th Jan 2023,DLF,Semi furnished,8 acres,5,12,1400,6700,,,1500.0,1400,Under construction,West,Yes,3,Yes,Road view,LG Airconditioner Jaguar fittings,Split AC,Rooftop cafe billiards table meeting rooms,"Contemporary SOHO spaces in Sector 89 Chandigarh perfect for startups This SOHO is designed to offer a luxurious and comfortable lifestyle with nan and 1 bathrooms, ensuring ample space for residents. Located in a prime area, it provides modern amenities such as Power backup high-speed elevators parking, making it an excellent choice for families and investors alike. The property boasts a stunning Road view and features high-quality LG Airconditioner Jaguar fittings for added elegance. With an expected appreciation of 12% per year, it is a great investment opportunity. The project is available for possession by 31st Jul 2025 and includes Indoor 2 parking spaces. Residents will also enjoy access to clubhouse facilities like Rooftop cafe billiards table meeting rooms. With a carpet area of 1400 sq. ft., this property is perfect for those seeking a premium lifestyle in West facing direction. Additionally, it offers Yes loan availability, making it easier to own your dream home."
Serenity Farmhouses,Farmhouse,,3,Private garden kids play area cycling path,2.3Cr-3.2Cr,15th Dec 2025,13%,Open 3,Delhi Public School Panchkula Golf Club Local Market,Panchkula,Sector 22 Panchkula,Near Golf Club,8th Aug 2022,DLF,Raw,20 acres,10,1,5800,7300,,Servant room store room,6000.0,5800,Under construction,East,Yes,,No,Mountain view,,,Guest house rooftop cafe billiards table,"Peaceful farmhouses in Panchkula surrounded by nature and modern amenities This Farmhouse is designed to offer a luxurious and comfortable lifestyle with nan and 3 bathrooms, ensuring ample space for residents. Located in a prime area, it provides modern amenities such as Private garden kids play area cycling path, making it an excellent choice for families and investors alike. The property boasts a stunning Mountain view and features high-quality nan for added elegance. With an expected appreciation of 13% per year, it is a great investment opportunity. The project is available for possession by 15th Dec 2025 and includes Open 3 parking spaces. Residents will also enjoy access to clubhouse facilities like Guest house rooftop cafe billiards table. With a carpet area of 5800 sq. ft., this property is perfect for those seeking a premium lifestyle in East facing direction. Additionally, it offers Yes loan availability, making it easier to own your dream home."
Ridge Residences,Apartment,2BHK,2,Kids play area jogging track cycling path,48L-65L,15th Aug 2024,10%,Open 1,Max Hospital Jubilee Junction Chandigarh IT Park,Chandigarh,Sector 79 Chandigarh,Near IT Park,20th May 2021,Sobha Realty,Raw,5 acres,8,12,1300,4900,2.0,Store room,1450.0,1300,2 years,North West,Yes,2,No,Road view,,,Billiards table indoor games rooftop cafe,"Well-planned apartments in Sector 79 Chandigarh with excellent connectivity This Apartment is designed to offer a luxurious and comfortable lifestyle with 2BHK and 2 bathrooms, ensuring ample space for residents. Located in a prime area, it provides modern amenities such as Kids play area jogging track cycling path, making it an excellent choice for families and investors alike. The property boasts a stunning Road view and features high-quality nan for added elegance. With an expected appreciation of 10% per year, it is a great investment opportunity. The project is available for possession by 15th Aug 2024 and includes Open 1 parking spaces. Residents will also enjoy access to clubhouse facilities like Billiards table indoor games rooftop cafe. With a carpet area of 1300 sq. ft., this property is perfect for those seeking a premium lifestyle in North West facing direction. Additionally, it offers Yes loan availability, making it easier to own your dream home."
Elysian Heights,Apartment,3BHK,3,Swimming pool gym play area,85L-1Cr,31st Dec 2025,12%,Indoor 1,Fortis Hospital CP67 Mall Jubilee Junction,Mohali,Sector 68 Mohali,Near Fortis Hospital,15th Sep 2023,Shobha Realty,Fully furnished,7.5 acres,10,15,1800,5100,3.0,Store room,2100.0,1800,Under construction,East,Yes,2,No,Park view,LG AC Jaguar fittings,Split AC,Rooftop cafe billiards table mini theatre,"Luxurious apartments in Sector 68 Mohali with modern design and premium amenities This Apartment is designed to offer a luxurious and comfortable lifestyle with 3BHK and 3 bathrooms, ensuring ample space for residents. Located in a prime area, it provides modern amenities such as Swimming pool gym play area, making it an excellent choice for families and investors alike. The property boasts a stunning Park view and features high-quality LG AC Jaguar fittings for added elegance. With an expected appreciation of 12% per year, it is a great investment opportunity. The project is available for possession by 31st Dec 2025 and includes Indoor 1 parking spaces. Residents will also enjoy access to clubhouse facilities like Rooftop cafe billiards table mini theatre. With a carpet area of 1800 sq. ft., this property is perfect for those seeking a premium lifestyle in East facing direction. Additionally, it offers Yes loan availability, making it easier to own your dream home."
